---
season: 2021-22
division: naia
gender: women
description: schedule/scoreboard from conference websites
updated: 2022-01-21
future: 54 (100%)
total: 54
---
source	id	dateET	timeET	gender	rank	team	at	oppRank	opponent	outcome	score	neutral	conference	division	domain	dateGMT	tournament	timeZone	timeDisplay	location	facility	tv	radio	links
SSAC	26061	2022-01-29	    TBA	W		LSUAL	at		DIL  			 	 	naia     		                 		  	TBA       	New Orleans, LA                               				
SSAC	25133	2022-01-29	 4:00pm	W		MCC  	at		MOBIL			 	 	juco/naia		2022-01-29T21:00Z		CT	3:00 P.M. 	Gerald Wallace Tennis Center - Mobile, AL     				
SSAC	26062	2022-02-04	    TBA	W		DIL  	at		XAV  			 	 	naia/d1  		                 		  	TBA       	New Orleans, LA                               				
SSAC	25205	2022-02-04	 1:00pm	W		BLUEM	at		CHRBR			 	 	naia/d2  		2022-02-04T18:00Z		  	1:00 P.M. 	Memphis, TN                                   				
SSAC	25108	2022-02-05	12:30pm	W		AUBM 	at		MIDGA			 	 	d2/naia  		2022-02-05T17:30Z		ET	12:30 P.M.	Macon, GA                                     				
SSAC	25206	2022-02-05	 1:00pm	W		MC   	at		BLUEM			 	 	d2/naia  		2022-02-05T18:00Z		  	1:00 P.M. 	New Albany, MS                                				
SSAC	25134	2022-02-11	 2:00pm	W		MOBIL	at		TUSK 			 	 	naia/d2  		2022-02-11T19:00Z		CT	1:00 P.M. 	Tuskegee, AL                                  				
SSAC	25135	2022-02-12	 2:00pm	W		DIL  	at		MOBIL			 	C	naia     		2022-02-12T19:00Z		CT	1:00 P.M. 	Gerald Wallace Tennis Center - Mobile, Ala.21q				
SSAC	25207	2022-02-13	 1:00pm	W		BLUEM	at		RHDES			 	 	naia/d3  		2022-02-13T18:00Z		  	1:00 P.M. 	Memphis, TN                                   				
SSAC	25136	2022-02-18	 1:00pm	W		MOBIL	vs		SPHC 			N	 	naia/d2  		2022-02-18T18:00Z		CT	12:00 P.M.	Mobile Tennis Center - Mobile, AL             				
SSAC	26065	2022-02-19	11:00am	W		MUW  	at		DIL  			 	 	juco/naia		2022-02-19T16:00Z		  	11:00 A.M.	New Orleans, LA                               				
SSAC	26066	2022-02-19	 3:00pm	W		LAMAR	at		DIL  			 	 	d1/naia  		2022-02-19T20:00Z		  	3:00 P.M. 	New Orleans, LA                               				
SSAC	25110	2022-02-21	12:00pm	W		MIDGA	at		AGSTA			 	 	naia/d2  		2022-02-21T17:00Z		ET	12:00 P.M.	Augusta, GA                                   				
SSAC	25157	2022-02-25	       	W		MOBIL	at		DIL  			 	C	naia     		                 		  	          	                                              				
SSAC	26069	2022-02-26	    TBA	W		DIL  	at		LSUAL			 	 	naia     		                 		  	TBA       	Alexandria, LA                                				
SSAC	25111	2022-02-26	12:00pm	W		MIDGA	at		EMM  			 	 	naia/d2  		2022-02-26T17:00Z		ET	12:00 P.M.	Franklin Springs, GA                          				
SSAC	26070	2022-02-27	    TBA	W		DIL  	at		LSUAL			 	 	naia     		                 		  	TBA       	Alexandria, LA                                				
SSAC	25240	2022-02-28	 1:00pm	W		XAV  	at		WCARY			 	 	d1/naia  		2022-02-28T18:00Z		  	1:00 P.M. 	Hattiesburg, MS                               				
SSAC	26073	2022-03-04	    TBA	W		XAV  	at		DIL  			 	 	d1/naia  		                 		  	TBA       	New Orleans, LA                               				
SSAC	25139	2022-03-05	10:00am	W		MOBIL	vs		TOUG 			N	 	naia     		2022-03-05T15:00Z		CT	9:00 A.M. 	Jackson, MS                                   				
SSAC	25159	2022-03-05	12:00pm	W		MOBIL	vs		RUST 			N	 	naia/d3  		2022-03-05T17:00Z		  	12:00 P.M.	Jackson, MS                                   				
SSAC	25142	2022-03-07	    TBA	W		CAMPB	at		MOBIL			 	 	naia     		                 		CT	TBA       	Gerald Wallace Tennis Center - Mobile, AL     				
SSAC	25245	2022-03-08	 1:00pm	W		WCARY	at		CAMPB			 	 	naia     		2022-03-08T18:00Z		  	1:00 P.M. 	Mobile, AL                                    				
SSAC	25246	2022-03-09	 1:00pm	W		OLIVT	at		WCARY			 	 	naia     		2022-03-09T18:00Z		  	1:00 P.M. 	Hattiesburg, MS                               				
SSAC	25247	2022-03-11	 1:00pm	W		MOBIL	at		WCARY			 	C	naia     		2022-03-11T18:00Z		  	1:00 P.M. 	Hattiesburg, MS                               				
SSAC	25145	2022-03-15	 4:00pm	W		MC   	at		MOBIL			 	 	d2/naia  		2022-03-15T20:00Z		CT	3:00 P.M. 	Gerald Wallace Tennis Center - Mobile, AL     				
SSAC	25117	2022-03-17	    TBA	W		WCARY	at		MIDGA			 	 	naia     		                 		ET	TBA       	Macon, GA                                     				
SSAC	25214	2022-03-17	10:00am	W		BLUEM	vs		TOUG 			N	C	naia     		2022-03-17T14:00Z		  	10:00 A.M.	Macon, GA                                     				
SSAC	25118	2022-03-18	    TBA	W		RUST 	at		MIDGA			 	 	d3/naia  		                 		ET	TBA       	Macon, GA                                     				
SSAC	25215	2022-03-18	12:00pm	W		BLUEM	vs		FNU  			N	C	naia     		2022-03-18T16:00Z		  	12:00 P.M.	Macon, GA                                     				
SSAC	25254	2022-03-18	 1:00pm	W		FNU  	vs		WCARY			N	C	naia     		2022-03-18T17:00Z		  	1:00 P.M. 	Macon, GA                                     				
SSAC	25146	2022-03-18	 1:00pm	W		SPHC 	at		MOBIL			 	 	d2/naia  		2022-03-18T17:00Z		CT	12:00 P.M.	Gerald Wallace Tennis Center - Mobile, AL     				
SSAC	25120	2022-03-19	    TBA	W		BLUEM	at		MIDGA			 	 	naia     		                 		ET	TBA       	Macon, GA                                     				
SSAC	25119	2022-03-19	    TBA	W		FISK 	at		MIDGA			 	 	naia     		                 		ET	TBA       	Macon, GA                                     				
SSAC	25256	2022-03-19	 1:00pm	W		TOUG 	vs		WCARY			N	C	naia     		2022-03-19T17:00Z		  	1:00 P.M. 	Macon, GA                                     				
SSAC	25121	2022-03-21	    TBA	W		MIDGA	vs		SEAST			N	 	naia     		                 		ET	TBA       	Orlando, FL                                   				
SSAC	25147	2022-03-22	 4:00pm	W		ATU  	at		MOBIL			 	 	d2/naia  		2022-03-22T20:00Z		CT	3:00 P.M. 	Gerald Wallace Tennis Center - Mobile, AL     				
SSAC	25122	2022-03-24	    TBA	W		AVEMA	vs		MIDGA			N	 	naia     		                 		ET	TBA       	Orlando, FL                                   				
SSAC	25211	2022-03-24	 1:00pm	W		WCARY	at		BLUEM			 	C	naia     		2022-03-24T17:00Z		  	1:00 P.M. 	                                              				
SSAC	26074	2022-03-25	    TBA	W		DIL  	at		JKST 			 	 	naia/d1  		                 		  	TBA       	Jackson, MS                                   				
SSAC	25148	2022-03-25	    TBA	W		MOBIL	at		AVEMA			 	 	naia     		                 		CT	TBA       	Ave Maria, FL                                 				
SSAC	25149	2022-03-26	    TBA	W		MOBIL	at		SEAST			 	 	naia     		                 		CT	TBA       	Lakeland, FL                                  				
SSAC	26076	2022-03-31	    TBA	W		DIL  	vs		FNU  			N	C	naia     		                 		  	TBA       	Montgomery, AL                                				
SSAC	25150	2022-03-31	11:00am	W		MIDGA	vs		MOBIL			N	C	naia     		2022-03-31T15:00Z		CT	10:00 A.M.	Montgomery, AL                                				
SSAC	25116	2022-04-01	    TBA	W		DIL  	vs		MIDGA			N	 	naia     		                 		ET	TBA       	Montgomery, AL                                				
SSAC	25151	2022-04-01	11:00am	W		MOBIL	vs		TOUG 			N	C	naia     		2022-04-01T15:00Z		CT	10:00 A.M.	Montgomery, AL                                				
SSAC	26078	2022-04-02	    TBA	W		DIL  	vs		TOUG 			N	C	naia     		                 		  	TBA       	Montgomery, AL                                				
SSAC	25152	2022-04-02	11:00am	W		FNU  	vs		MOBIL			N	C	naia     		2022-04-02T15:00Z		CT	10:00 A.M.	Montgomery, AL                                				
SSAC	26081	2022-04-03	    TBA	W		DIL  	at		LSUAL			 	 	naia     		                 		  	TBA       	Alexandria, LA                                				
SSAC	25212	2022-04-05	 1:00pm	W		CHRBR	at		BLUEM			 	 	d2/naia  		2022-04-05T17:00Z		  	1:00 P.M. 	New Albany, MS                                				
SSAC	25124	2022-04-10	12:00pm	W		SCADA	at		MIDGA			 	 	naia     		2022-04-10T16:00Z		ET	12:00 P.M.	Macon, GA                                     				
SSAC	25213	2022-04-12	 1:00pm	W		CHRBR	at		BLUEM			 	 	d2/naia  		2022-04-12T17:00Z		  	1:00 P.M. 	New Albany, MS                                				
SSAC	25125	2022-04-14	12:00pm	W		SCAD 	at		MIDGA			 	 	naia     		2022-04-14T16:00Z		ET	12:00 P.M.	Macon, GA                                     				
SSAC	25126	2022-04-19	12:00pm	W		MIDGA	at		GCSU 			 	 	naia/d2  		2022-04-19T16:00Z		ET	12:00 P.M.	Milledgeville, GA                             				
