---
tournaments: 375
withResults: 294
completed: 335
inProgress: 30
future: 10
events: 831
entrants: 22528
results: 33510
---
week	code	players	events	results	starts	ends	divisions	gender	name	organization	url
35	21-02759	 74	2	132	2021-09-05	2021-09-06	DII,DIII,NAIA,JUCO	W	Mary Hosking Invitational Tournament	William Smith College (W)	https://colleges.wearecollegetennis.com/competitions/WilliamSmithCollegeW/Tournaments/Overview/1FB431EE-43C2-4942-BA44-E90A90A694C7
35	21-00238	108	4	220	2021-09-03	2021-09-04	DII,DIII,NAIA,JUCO	MW	Tyler Invite	Univ. Of Texas, Tyler (W)	https://colleges.wearecollegetennis.com/competitions/UnivOfTexasTylerW/Tournaments/Overview/2BA0D609-FAB2-4A48-859D-61975908AE40
35	21-90634	 74	2	 72	2021-09-04	2021-09-04	DII,DIII,NAIA,JUCO	W	Warhawk Invitational	Univ. Of Wisconsin, Whitewater (W)	https://colleges.wearecollegetennis.com/competitions/UnivOfWisconsinWhitewaterW/Tournaments/Overview/4E7E69DF-F521-4DA8-A3AB-8131B80552CE
36	21-56790	 64	3	150	2021-09-10	2021-09-12	DI                	M	10th Annual Villanova Invitation	Villanova University (M)	https://colleges.wearecollegetennis.com/competitions/VillanovaUniversityM/Tournaments/Overview/831641B3-DB8F-4BD7-8D82-8308402A7AF5
36	21-26104	 49	3	 99	2021-09-10	2021-09-12	DI                	M	2021 Contender Crossfit Islander Open	Texas A&M University, Corpus Christi (M)	https://colleges.wearecollegetennis.com/competitions/TexasAMUniversityCorpusChristiM/Tournaments/Overview/B00BE0B9-F219-49D7-880F-72F7FA07C012
36	21-25876	 62	3	130	2021-09-10	2021-09-12	DI                	W	2021 Contender Crossfit Islander Open	Texas A&M University, Corpus Christi (W)	https://colleges.wearecollegetennis.com/competitions/TexasAMUniversityCorpusChristiW/Tournaments/Overview/88D2417A-460B-408A-9E50-7C7E5EE7478F
36	21-19264	 32	3	 90	2021-09-10	2021-09-12	DI                	M	2021 Dar Walters Classic	Boise State University (M)	https://colleges.wearecollegetennis.com/competitions/BoiseStateUniversityM/Tournaments/Overview/0A6447AB-0F0F-4FEA-A5A2-B24BE34130E9
36	21-65691	 16	3	   	2021-09-10	2021-09-12	DI                	M	Battle of the Beach	Florida State University (M)	https://colleges.wearecollegetennis.com/competitions/FloridaStateUniversityM/Tournaments/Overview/33BF7687-224B-4449-8542-98C2F04F4C3D
36	21-34233	 71	2	128	2021-09-10	2021-09-12	DI                	W	Bill and Sandra Moore Invitational	U.S. Naval Academy (W)	https://colleges.wearecollegetennis.com/competitions/USNavalAcademyW/Tournaments/Overview/91B59866-0B48-4129-8FAE-B1A88BCD7896
36	21-36446	 32	2	 62	2021-09-10	2021-09-12	DI                	M	Gator Fall Invite	University of Florida (M)	https://colleges.wearecollegetennis.com/competitions/UniversityofFloridaM/Tournaments/Overview/E57687E5-3269-4CFE-8455-1FE6AD846938
36	21-83681	 33	3	 57	2021-09-10	2021-09-12	DI                	M	Knoxville Showdown	Univ. Of Tennessee, Knoxville (M)	https://colleges.wearecollegetennis.com/competitions/UnivOfTennesseeKnoxvilleM/Tournaments/Overview/85DF336A-C5C2-4C22-AC59-717D6414EA8A
36	21-48654	 35	2	 61	2021-09-11	2021-09-12	DI                	W	Liberty Invite	Liberty University (W)	https://colleges.wearecollegetennis.com/competitions/LibertyUniversityW/Tournaments/Overview/D66E087D-3234-4CE1-8D12-9CFE3EF5F621
36	21-94373	 48	2	124	2021-09-10	2021-09-12	DI                	M	NMSU Fall invitational	New Mexico State University (M)	https://colleges.wearecollegetennis.com/competitions/NewMexicoStateUniversityM/Tournaments/Overview/B63F9A82-1B7B-4CAE-9A82-665CD2835174
36	21-93144	 16	2	 35	2021-09-10	2021-09-12	DI                	M	Orange Lawn Fall Invitational	Princeton University (M)	https://colleges.wearecollegetennis.com/competitions/PrincetonUniversityM/Tournaments/Overview/78C4DCF2-0C15-4064-8EAC-A0B9DD042B5C
36	21-88961	 87	2	130	2021-09-10	2021-09-11	DI                	M	River Forrest Collegiate Invitational	Northern Illinois Univ. (M)	https://colleges.wearecollegetennis.com/competitions/NorthernIllinoisUnivM/Tournaments/Overview/6537264A-9F90-4773-A706-54894C3A5432
36	21-66962	 33	2	 51	2021-09-10	2021-09-11	DI                	W	SIUE Cougar Invite	Southern Illinois University, Edwardsville (W)	https://colleges.wearecollegetennis.com/competitions/SouthernIllinoisUniversityEdwardsvilleW/Tournaments/Overview/49CD19F7-C361-46C8-9A0D-85DA79B24973
36	21-95655	 50	2	102	2021-09-10	2021-09-12	DI                	M	UNCG Fall Invitational	UNC Greensboro (M)	https://colleges.wearecollegetennis.com/competitions/UNCGreensboroM/Tournaments/Overview/1F8F8A38-A3A4-49F4-95C4-1C5F328D5A8B
36	21-43648	 31	2	 64	2021-09-10	2021-09-11	DI                	W	Warhawk Invite	Univ. Of Louisiana, Monroe (W)	https://colleges.wearecollegetennis.com/competitions/UnivOfLouisianaMonroeW/Tournaments/Overview/54708D1F-C66A-43B0-AD2A-D851EE9A1A35
36	21-32364	 71	2	148	2021-09-10	2021-09-12	DI                	W	Women's Drake Invite	Drake University (W)	https://colleges.wearecollegetennis.com/competitions/DrakeUniversityW/Tournaments/Overview/51EAC500-8BA9-4BA4-A244-CED3E726C5FE
36	21-33792	 86	2	   	2021-09-11	2021-09-12	DII,DIII,NAIA,JUCO	W	2021 MAC Women's Tennis Individual Championship	ITA	https://colleges.wearecollegetennis.com/competitions/ITA/Tournaments/Overview/1B51A302-1C77-4D57-AE99-9B6DC6C9C3FF
36	21-31047	 43	2	 93	2021-09-10	2021-09-11	DII,DIII,NAIA,JUCO	W	Angelo State SlamFest	Angelo State University (W)	https://colleges.wearecollegetennis.com/competitions/AngeloStateUniversityW/Tournaments/Overview/AF7EE133-54BC-4F7C-A60D-0E1A114F1191
36	21-17243	 37	2	 58	2021-09-11	2021-09-12	DII,DIII,NAIA,JUCO	M	Charger Invitational	Hillsdale College (M)	https://colleges.wearecollegetennis.com/competitions/HillsdaleCollegeM/Tournaments/Overview/57338A62-AC78-4EAE-969A-35DC4383B48C
36	21-92220	 30	2	 45	2021-09-10	2021-09-11	DII,DIII,NAIA,JUCO	W	Limestone Women's Challenger	Limestone University (W)	https://colleges.wearecollegetennis.com/competitions/LimestoneUniversityW/Tournaments/Overview/CD512B83-10FF-46E4-86C6-2C34954D0D21
36	21-96391	 48	2	   	2021-09-10	2021-09-12	DII,DIII,NAIA,JUCO	M	Marlin Fall Invite	Virginia Wesleyan University (M)	https://colleges.wearecollegetennis.com/competitions/VirginiaWesleyanUniversityM/Tournaments/Overview/92F41BDA-3278-4123-AAA8-56DA2292BAF7
36	21-08925	112	2	   	2021-09-10	2021-09-11	DII,DIII,NAIA,JUCO	W	Oberlin Invitational	Oberlin College (W)	https://colleges.wearecollegetennis.com/competitions/OberlinCollegeW/Tournaments/Overview/4A3D5B55-249F-48E0-9FCE-F2AD17BA285E
36	21-93996	 74	2	 44	2021-09-11	2021-09-12	DII,DIII,NAIA,JUCO	M	St. Lawrence University Fall Classic	St. Lawrence University (M)	https://colleges.wearecollegetennis.com/competitions/StLawrenceUniversityM/Tournaments/Overview/3699D952-856D-4724-8FE8-12BD2237BE35
36	21-79025	166	4	275	2021-09-10	2021-09-11	DII,DIII,NAIA,JUCO	MW	St. Mary's Invitational	Saint Mary's University/TX (M)	https://colleges.wearecollegetennis.com/competitions/SaintMarysUniversityTXM/Tournaments/Overview/C6278335-0D2A-4F94-B9F3-C40C15022AF2
36	21-72676	 32	2	 54	2021-09-11	2021-09-12	DII,DIII,NAIA,JUCO	W	University of Findlay/Findlay YMCA East Fall Invite	University Of Findlay (W)	https://colleges.wearecollegetennis.com/competitions/UniversityOfFindlayW/Tournaments/Overview/35791888-BCA3-468A-A36B-BB7A6BEFBC60
36	21-91551	   	2	   	2021-09-11	2021-09-12	DII,DIII,NAIA,JUCO	W	Vassar Scramble	Vassar College (W)	https://colleges.wearecollegetennis.com/competitions/VassarCollegeW/Tournaments/Overview/8FDC96CE-64BC-4316-8AEA-7F55A9B60D61
36	21-11561	   	2	   	2021-09-11	2021-09-12	DII,DIII,NAIA,JUCO	W	Wallach Invitational	Bates College (M)	https://colleges.wearecollegetennis.com/competitions/BatesCollegeM/Tournaments/Overview/4C12E278-72B0-42B2-B6A7-21AC0ED181A8
36	21-36572	 69	2	113	2021-09-10	2021-09-11	DII,DIII,NAIA,JUCO	M	Warhawk Fall Invitational	Univ. Of Wisconsin, Whitewater (M)	https://colleges.wearecollegetennis.com/competitions/UnivOfWisconsinWhitewaterM/Tournaments/Overview/EDCD2730-6E69-4CC4-82FD-5E3EB6EAF692
36	21-24367	 50	4	 76	2021-09-11	2021-09-12	DII,DIII,NAIA,JUCO	MW	William Woods Invite	William Woods University (M)	https://colleges.wearecollegetennis.com/competitions/WilliamWoodsUniversityM/Tournaments/Overview/925B6A52-D5D0-480C-B583-F75CA6B76374
36	21-22816	 94	4	158	2021-09-11	2021-09-12	DII,DIII,NAIA,JUCO	MW	Wingate Fall Invitational	Wingate University (M)	https://colleges.wearecollegetennis.com/competitions/WingateUniversityM/Tournaments/Overview/E3B491C0-6356-4819-8075-7AE9C5E452AD
37	21-89472	 29	2	   	2021-09-17	2021-09-18	DI                	W	2021 APSU Fall Tournament	Austin Peay State University (W)	https://colleges.wearecollegetennis.com/competitions/AustinPeayStateUniversityW/Tournaments/Overview/529D2BB1-3F31-4227-948D-C08E670678BD
37	21-01301	 36	3	 66	2021-09-17	2021-09-19	DI                	M	Alabama Four-In-The-Fall	University of Alabama (M)	https://colleges.wearecollegetennis.com/competitions/UniversityOfAlabamaM/Tournaments/Overview/4146D367-412F-4187-9968-E9E6ABE251A4
37	21-72298	 34	2	 67	2021-09-17	2021-09-19	DI                	M	Auburn Fall Invite	Auburn University (M)	https://colleges.wearecollegetennis.com/competitions/AuburnUniversityM/Tournaments/Overview/5CE93068-0A51-4941-853B-FC0571C04451
37	21-69307	 61	2	150	2021-09-16	2021-09-18	DI                	M	Bedford Cup in the Mountains	U.S. Air Force Academy (M)	https://colleges.wearecollegetennis.com/competitions/USAirForceAcademyM/Tournaments/Overview/E8C14C9B-4222-480F-BC01-85183085A47E
37	21-14330	 51	2	 98	2021-09-17	2021-09-19	DI                	W	Brown Invitational	Brown University (W)	https://colleges.wearecollegetennis.com/competitions/BrownUniversityW/Tournaments/Overview/8EA19D28-8C5F-436E-80F9-E515FC4507EA
37	21-04953	 18	3	 36	2021-09-17	2021-09-19	DI                	M	Dale Short Shootout	Middle Tennessee State University (M)	https://colleges.wearecollegetennis.com/competitions/MiddleTennesseeStateUniversityM/Tournaments/Overview/8D17D1A4-3D6A-4D99-9858-4808AD3D6EAE
