---
tournaments: 238
players: 4546
matches: 4652
completed: 4638
scheduled: 14
---
tournamentCode	eventId	drawId	bracketId	roundId	winner	player1	partner1	player2	partner2	round	seed1	line1	seed2	line2	score
21-00186	4	1	1	4	1	h9x3dr	by5ink	16dqvs	cfsbmp	F		Canete/Canete		Moosbacher/Farfan	61 63
21-00186	4	1	1	3	1	16dqvs	cfsbmp	e9i943	xm08w0	SF		Moosbacher/Farfan		Kozar/Dovnik	46 60 [10]
21-00186	4	1	1	3	1	h9x3dr	by5ink	9obsp2	fsvg5y	SF		Canete/Canete		Franco/Garza	63 64
21-00186	4	1	1	2	1	16dqvs	cfsbmp	am2o28	maxebo	QF		Moosbacher/Farfan		Jorge/Lippert	60 60
21-00186	4	1	1	2	1	e9i943	xm08w0	kxbj7b	tv4vqp	QF		Kozar/Dovnik	4	Gonzalez Ramirez/Ov…	62 64
21-00186	4	1	1	2	1	h9x3dr	by5ink	hikgsk	rejixs	QF		Canete/Canete		Ragona/Shiau	61 63
21-00186	4	1	1	2	1	9obsp2	fsvg5y	234ba1	tw0ac6	QF		Franco/Garza	2	Espinal/Nosievici	61 Ret.
21-00186	4	1	1	1	1	16dqvs	cfsbmp	hys4k4	dxstm7	16		Moosbacher/Farfan	1	Novikova/Dunlap	06 76(8) [5]
21-00186	4	1	1	1	1	am2o28	maxebo	eouia6	8ie4aw	16		Jorge/Lippert		Jancikova/Arce Viey…	61 61
21-00186	4	1	1	1	1	kxbj7b	tv4vqp	xmlenc	5keq6q	16	4	Gonzalez Ramirez/Ov…		Munday/Stralka	62 62
21-00186	4	1	1	1	1	e9i943	xm08w0	rcropu	h8qqu2	16		Kozar/Dovnik		Stephenson/Waller	64 63
21-00186	4	1	1	1	1	h9x3dr	by5ink	xbrdrx	azm30d	16		Canete/Canete		Guler/Irrinki	60 61
21-00186	4	1	1	1	1	hikgsk	rejixs	avh9t5	43n1v5	16		Ragona/Shiau	3	Borg/Groth	16 76(7) [8]
21-00186	4	1	1	1	1	9obsp2	fsvg5y	6rxld9	vq7i9g	16		Franco/Garza		Chamoun/Spice	63 46 [8]
21-00186	4	1	1	1	1	234ba1	tw0ac6	ibrdrx	j4262q	16	2	Espinal/Nosievici		Graydon/Kirchtag	63 61
21-00186	4	1	2	2	1	hys4k4	dxstm7	rcropu	h8qqu2	SF	1	Novikova/Dunlap		Stephenson/Waller	63 60
21-00186	4	1	2	2	1	avh9t5	43n1v5	6rxld9	vq7i9g	SF	3	Borg/Groth		Chamoun/Spice	62 64
21-00186	4	1	2	1	1	hys4k4	dxstm7	eouia6	8ie4aw	QF	1	Novikova/Dunlap		Jancikova/Arce Viey…	63 62
21-00186	4	1	2	1	1	rcropu	h8qqu2	xmlenc	5keq6q	QF		Stephenson/Waller		Munday/Stralka	61 63
21-00186	4	1	2	1	1	avh9t5	43n1v5	xbrdrx	azm30d	QF	3	Borg/Groth		Guler/Irrinki	63 06 [6]
21-00186	4	1	2	1	1	6rxld9	vq7i9g	ibrdrx	j4262q	QF		Chamoun/Spice		Graydon/Kirchtag	64 63
21-00186	4	1	3	1	1	am2o28	maxebo	kxbj7b	tv4vqp	SF		Jorge/Lippert	4	Gonzalez Ramirez/Ov…	61 63
21-00186	4	1	5	1	1	xmlenc	5keq6q	eouia6	8ie4aw	SF		Munday/Stralka		Jancikova/Arce Viey…	62 76(3)
21-00186	4	1	5	1		xbrdrx	azm30d	ibrdrx	j4262q	SF		Guler/Irrinki		Graydon/Kirchtag	
21-00186	4	2	1	4	1	sefmlc	tho163	wobsp2	5q5238	F		Fordham/Plakk	4	Guo/Mikos	75 67(5) 63
21-00186	4	2	1	3	1	wobsp2	5q5238	c834xi	v2xyrc	SF	4	Guo/Mikos		Gaeth/Yu	46 76(4) [7]
21-00186	4	2	1	3	1	sefmlc	tho163	h77pb1	43tddt	SF		Fordham/Plakk		Givone/Zhou	63 64
21-00186	4	2	1	2	1	c834xi	v2xyrc	vxstm7	mct4v2	QF		Gaeth/Yu	1	Cornwall/Zheng	63 64
21-00186	4	2	1	2	1	wobsp2	5q5238	sh97xf	hktkfe	QF	4	Guo/Mikos		Zhou/Markey	61 63
21-00186	4	2	1	2	1	h77pb1	43tddt	b834xi	50187y	QF		Givone/Zhou	3	Goetz/Li	64 62
21-00186	4	2	1	2	1	sefmlc	tho163	k2vil4	69gtyv	QF		Fordham/Plakk	2	Rigby/Christensen	26 75 [8]
21-00186	4	2	1	1	1	vxstm7	mct4v2	0b8n6t	8vh9t5	16	1	Cornwall/Zheng		Fatemi/Cartledge	62 36 [9]
21-00186	4	2	1	1	1	c834xi	v2xyrc	jclc76	c4262q	16		Gaeth/Yu		Castellanos Caldero…	64 63
21-00186	4	2	1	1	1	wobsp2	5q5238	nfursx	xd2xkz	16	4	Guo/Mikos		Lee/Juan	64 61
21-00186	4	2	1	1	1	sh97xf	hktkfe	sz1x91	5hqhcb	16		Zhou/Markey		Beshentseva/Vazquez	64 61
21-00186	4	2	1	1	1	h77pb1	43tddt	ewyu6y	dazuhw	16		Givone/Zhou		Landells/Roarty	36 62 [5]
21-00186	4	2	1	1	1	b834xi	50187y	9cnsde	u1v7n7	16	3	Goetz/Li		Franta/Henderson	61 60
21-00186	4	2	1	1	1	sefmlc	tho163	f2xyrc	xouia6	16		Fordham/Plakk		Ziehm/Kesterson	61 63
21-00186	4	2	1	1	1	k2vil4	69gtyv	569ujc	nl69gr	16	2	Rigby/Christensen		Bruno/Lee	60 61
21-00186	4	2	2	2	1	nfursx	xd2xkz	0b8n6t	8vh9t5	SF		Lee/Juan		Fatemi/Cartledge	63 64
21-00186	4	2	2	2	1	f2xyrc	xouia6	9cnsde	u1v7n7	SF		Ziehm/Kesterson		Franta/Henderson	60 60
21-00186	4	2	2	1	1	0b8n6t	8vh9t5	jclc76	c4262q	QF		Fatemi/Cartledge		Castellanos Caldero…	63 62
21-00186	4	2	2	1	1	nfursx	xd2xkz	sz1x91	5hqhcb	QF		Lee/Juan		Beshentseva/Vazquez	63 64
21-00186	4	2	2	1	1	9cnsde	u1v7n7	ewyu6y	dazuhw	QF		Franta/Henderson		Landells/Roarty	75 62
21-00186	4	2	2	1	1	f2xyrc	xouia6	569ujc	nl69gr	QF		Ziehm/Kesterson		Bruno/Lee	62 60
21-00186	4	2	3	1	1	k2vil4	69gtyv	b834xi	50187y	SF	2	Rigby/Christensen	3	Goetz/Li	63 75
21-00186	4	2	5	1	1	jclc76	c4262q	sz1x91	5hqhcb	SF		Castellanos Caldero…		Beshentseva/Vazquez	16 61 [9]
21-00186	4	2	5	1	1	ewyu6y	dazuhw	569ujc	nl69gr	SF		Landells/Roarty		Bruno/Lee	60 62
21-00186	4	3	1	4	1	enfd3l	y7ozqx	xqq8uk	v9gtyv	F	1	Genovese/Fernandez	3	Vidanovic/Coopersmi…	63 16 64
21-00186	4	3	1	3	1	enfd3l	y7ozqx	18oaou	tvl55l	SF	1	Genovese/Fernandez	4	Pichler/Lysykh	75 63
21-00186	4	3	1	3	1	xqq8uk	v9gtyv	0qosoc	eho163	SF	3	Vidanovic/Coopersmi…	2	Quiceno/Petit	75 64
21-00186	4	3	1	2	1	enfd3l	y7ozqx	vxwpyn	dn0jux	QF	1	Genovese/Fernandez		Piccoliori/Puig Llo…	62 63
21-00186	4	3	1	2	1	18oaou	tvl55l	m1v7n7	omhibw	QF	4	Pichler/Lysykh		Golz/Bemisderfer	26 63 [4]
21-00186	4	3	1	2	1	xqq8uk	v9gtyv	k3ph1d	6nwnih	QF	3	Vidanovic/Coopersmi…		Mendez/Dveksler	75 61
21-00186	4	3	1	2	1	0qosoc	eho163	boyemm	bkpo3y	QF	2	Quiceno/Petit		Teodoro De Oliveira…	61 63
21-00186	4	3	1	1	1	enfd3l	y7ozqx	uy7yts	4os24y	16	1	Genovese/Fernandez		Gilich/Fernandez	62 61
21-00186	4	3	1	1	1	vxwpyn	dn0jux	a795h9	njcz2l	16		Piccoliori/Puig Llo…		Muhammad/Clarke	46 63 [6]
21-00186	4	3	1	1	1	18oaou	tvl55l	3jt9hh	nqq8uk	16	4	Pichler/Lysykh		Carpenter/Vasquez	63 61
21-00186	4	3	1	1	1	m1v7n7	omhibw	effxj9	jn2z05	16		Golz/Bemisderfer		Rinaldi/Weiland	61 64
21-00186	4	3	1	1	1	k3ph1d	6nwnih	bn0jux	o501uf	16		Mendez/Dveksler		Novati/Pinto	76(4) 62
21-00186	4	3	1	1	1	xqq8uk	v9gtyv	l1v7n7	swyu6y	16	3	Vidanovic/Coopersmi…		Guerrero/Isaac	61 62
21-00186	4	3	1	1	1	boyemm	bkpo3y	ufhdph	yktkfe	16		Teodoro De Oliveira…		Zavala/Lindeboom	61 63
21-00186	4	3	1	1	1	0qosoc	eho163	cvnlbt	34262q	16	2	Quiceno/Petit		Siska/Koplova	62 75
21-00186	4	3	2	2	1	3jt9hh	nqq8uk	a795h9	njcz2l	SF		Carpenter/Vasquez		Muhammad/Clarke	Walkover
21-00186	4	3	2	1	1	a795h9	njcz2l	uy7yts	4os24y	QF		Muhammad/Clarke		Gilich/Fernandez	Walkover
21-00186	4	3	2	1	1	3jt9hh	nqq8uk	effxj9	jn2z05	QF		Carpenter/Vasquez		Rinaldi/Weiland	67(3) 61 [6]
21-00186	4	3	2	1	1	bn0jux	o501uf	l1v7n7	swyu6y	QF		Novati/Pinto		Guerrero/Isaac	36 76(4) [1]
21-00186	4	3	2	1		ufhdph	yktkfe	cvnlbt	34262q	QF		Zavala/Lindeboom		Siska/Koplova	
21-00186	4	3	3	1	1	vxwpyn	dn0jux	m1v7n7	omhibw	SF		Piccoliori/Puig Llo…		Golz/Bemisderfer	46 76(9) [9]
21-00186	4	3	3	1	1	boyemm	bkpo3y	k3ph1d	6nwnih	SF		Teodoro De Oliveira…		Mendez/Dveksler	75 36 [10]
21-00186	4	3	5	1	1	effxj9	jn2z05	uy7yts	4os24y	SF		Rinaldi/Weiland		Gilich/Fernandez	Walkover
21-00186	4	4	1	3	1	qxdzdj	l32v4t	rjx5tx	red6f4	F	1	Martins/Anzalotta	2	McKenzie/Cherfus	62 26 64
21-00186	4	4	1	2	1	qxdzdj	l32v4t	kbpxlp	l3n1v5	SF	1	Martins/Anzalotta		Carvalho-Landell/Ga…	62 61
21-00186	4	4	1	2	1	rjx5tx	red6f4	b2e868	ksaaem	SF	2	McKenzie/Cherfus	3	Wild/Apisah	63 76
21-00186	4	4	1	1	1	qxdzdj	l32v4t	ckeq6q	v8oaou	QF	1	Martins/Anzalotta		Vossen/Prokter	60 60
21-00186	4	4	1	1	1	kbpxlp	l3n1v5	z77pb1	eltvdb	QF		Carvalho-Landell/Ga…	4	Hernandez/Zungu	26 64 [8]
21-00186	4	4	1	1	1	b2e868	ksaaem	9ll3pf	yclc76	QF	3	Wild/Apisah		Beukes/Chen	62 63
21-00186	4	4	1	1	1	rjx5tx	red6f4	30meya	bpohqf	QF	2	McKenzie/Cherfus		Warham/De Mata	62 62
21-00186	4	4	2	2	1	z77pb1	eltvdb	9ll3pf	yclc76	F	4	Hernandez/Zungu		Beukes/Chen	62 60
21-00186	4	4	2	1	1	z77pb1	eltvdb	ckeq6q	v8oaou	SF	4	Hernandez/Zungu		Vossen/Prokter	61 60
21-00186	4	4	2	1	1	9ll3pf	yclc76	30meya	bpohqf	SF		Beukes/Chen		Warham/De Mata	76(5) 62
21-00186	4	4	3	1	1	b2e868	ksaaem	kbpxlp	l3n1v5	F	3	Wild/Apisah		Carvalho-Landell/Ga…	76(4) 63
21-00186	4	4	4	1	1	30meya	bpohqf	ckeq6q	v8oaou	F		Warham/De Mata		Vossen/Prokter	61 62
21-00238	4	1	1	3	1	jd2xkz	wq7i9g	0xqdgz	ui1q7g	R3		Hunger/Simas		Aswal/Lozano	62
21-00238	4	1	1	3	1	xzm30d	snht9t	a8oaou	juawag	R3		Kononovych/Milojevic		Ramirez Llorens/Vog…	Walkover
21-00238	4	1	1	2	1	0xqdgz	ui1q7g	xzm30d	snht9t	R2		Aswal/Lozano		Kononovych/Milojevic	Walkover
21-00238	4	1	1	2	1	jd2xkz	wq7i9g	a8oaou	juawag	R2		Hunger/Simas		Ramirez Llorens/Vog…	Walkover
21-00238	4	1	1	1	1	xzm30d	snht9t	jd2xkz	wq7i9g	R1		Kononovych/Milojevic		Hunger/Simas	63
21-00238	4	1	1	1	1	0xqdgz	ui1q7g	a8oaou	juawag	R1		Aswal/Lozano		Ramirez Llorens/Vog…	Default
21-00238	4	2	1	3	1	qxdzdj	l32v4t	by5ink	h9x3dr	F		Martins/Anzalotta		Canete/Canete	63
21-00238	4	2	1	2	1	qxdzdj	l32v4t	xfursx	vwdofm	SF		Martins/Anzalotta		Lespes/Belberka	62
21-00238	4	2	1	2	1	by5ink	h9x3dr	7795h9	l8oaou	SF		Canete/Canete		Matteodo/Popluharova	61
21-00238	4	2	1	1	1	qxdzdj	l32v4t	9mjyh4	ios24y	QF		Martins/Anzalotta		Gonzalez/Cozamanis	64
21-00238	4	2	1	1	1	xfursx	vwdofm	sdhrtn	bu4kss	QF		Lespes/Belberka		Chawner/Dix	64
21-00238	4	2	1	1	1	7795h9	l8oaou	8qq8uk	2q3mx0	QF		Matteodo/Popluharova		Ule/Frigout	63
21-00238	4	2	1	1	1	by5ink	h9x3dr	yy9ez0	tuawag	QF		Canete/Canete		Milosevic/Wallin	63
21-00238	4	2	2	2	1	8qq8uk	2q3mx0	9mjyh4	ios24y	F		Ule/Frigout		Gonzalez/Cozamanis	75
21-00238	4	2	2	1	1	9mjyh4	ios24y	sdhrtn	bu4kss	SF		Gonzalez/Cozamanis		Chawner/Dix	62
21-00238	4	2	2	1	1	8qq8uk	2q3mx0	yy9ez0	tuawag	SF		Ule/Frigout		Milosevic/Wallin	62
21-00238	4	2	4	1	1	sdhrtn	bu4kss	yy9ez0	tuawag	F		Chawner/Dix		Milosevic/Wallin	64
21-00238	4	3	1	3	1	cq16rs	5fursx	ksaaem	b2e868	F		Cerda/Kauders		Apisah/Wild	64
21-00238	4	3	1	2	1	ksaaem	b2e868	3wdofm	xg50n2	SF		Apisah/Wild		Buntrock/Boyar	62
21-00238	4	3	1	2	1	cq16rs	5fursx	4axebo	dlrf73	SF		Cerda/Kauders		McDonald/Royall	75
21-00238	4	3	1	1	1	3wdofm	xg50n2	ch5blz	88709y	QF		Buntrock/Boyar		Mora Camacho/Sandov…	63
21-00238	4	3	1	1	1	ksaaem	b2e868	vofo1i	6kr496	QF		Apisah/Wild		Roy/Gill	62
21-00238	4	3	1	1	1	4axebo	dlrf73	wnj9f1	p8kece	QF		McDonald/Royall		Ross/Deutschmann	75
21-00238	4	3	1	1	1	cq16rs	5fursx	63llpx	ill3pf	QF		Cerda/Kauders		Chadick/Brocks	62
21-00238	4	3	2	2	1	wnj9f1	p8kece	ch5blz	88709y	F		Ross/Deutschmann		Mora Camacho/Sandov…	63
21-00238	4	3	2	1	1	ch5blz	88709y	vofo1i	6kr496	SF		Mora Camacho/Sandov…		Roy/Gill	75
21-00238	4	3	2	1	1	wnj9f1	p8kece	63llpx	ill3pf	SF		Ross/Deutschmann		Chadick/Brocks	62
21-00238	4	3	3	1	1	3wdofm	xg50n2	4axebo	dlrf73	F		Buntrock/Boyar		McDonald/Royall	64
21-00238	4	3	4	1	1	63llpx	ill3pf	vofo1i	6kr496	F		Chadick/Brocks		Roy/Gill	60
21-00238	4	4	1	3	1	jpohqf	8aeoqk	ocnsde	dst0zq	F		Fabre/Kouchnareva		Furness/Bleicher	60
21-00238	4	4	1	2	1	jpohqf	8aeoqk	zho163	ql4taj	SF		Fabre/Kouchnareva		Penn/Conway	62
21-00238	4	4	1	2	1	ocnsde	dst0zq	baeoqk	p501uf	SF		Furness/Bleicher		Ibrasheva/Patil	62
21-00238	4	4	1	1	1	jpohqf	8aeoqk	k8muim	h2vil4	QF		Fabre/Kouchnareva		Kramarova/Shah	62
21-00238	4	4	1	1	1	zho163	ql4taj	0hk5un	jpb3nz	QF		Penn/Conway		Farris/Saravanan	Walkover
21-00238	4	4	1	1	1	baeoqk	p501uf	693fvf	wvp1h1	QF		Ibrasheva/Patil		Serpukhova/Yoshimura	62
21-00238	4	4	1	1	1	ocnsde	dst0zq	uput83	tdj7zv	QF		Furness/Bleicher		Tregubova/Hosking	76(4)
21-00238	4	4	2	2	1	k8muim	h2vil4	uput83	tdj7zv	F		Kramarova/Shah		Tregubova/Hosking	63
21-00238	4	4	2	1	1	k8muim	h2vil4	0hk5un	jpb3nz	SF		Kramarova/Shah		Farris/Saravanan	Walkover
21-00238	4	4	2	1	1	uput83	tdj7zv	693fvf	wvp1h1	SF		Tregubova/Hosking		Serpukhova/Yoshimura	61
21-00238	4	4	3	1	1	baeoqk	p501uf	zho163	ql4taj	F		Ibrasheva/Patil		Penn/Conway	64
21-00238	4	4	4	1	1	693fvf	wvp1h1	0hk5un	jpb3nz	F		Serpukhova/Yoshimura		Farris/Saravanan	Walkover
21-01963	2	1	1	5	1	pl69gr	xx9313	yb8n6t	69gtyv	F	2	Kintiroglou/Bukzin		Cummings/Christensen	82
21-01963	2	1	1	4	1	yb8n6t	69gtyv	o6u0ao	c834xi	SF		Cummings/Christensen		Jin/Gaeth	86
21-01963	2	1	1	4	1	pl69gr	xx9313	28kece	8axebo	SF	2	Kintiroglou/Bukzin		Fleischman/Mohsen-B…	82
21-01963	2	1	1	3	1	yb8n6t	69gtyv	6nfd3l	v2xyrc	QF		Cummings/Christensen	1	Henderson/Yu	84
21-01963	2	1	1	3	1	o6u0ao	c834xi	g40qwi	kltvdb	QF		Jin/Gaeth		Ferrante/Yeung	86
21-01963	2	1	1	3	1	28kece	8axebo	k2vil4	muawag	QF		Fleischman/Mohsen-B…	3	Rigby/Suk	86
