---
tournaments: 117
players: 3031
matches: 4929
completed: 4859
scheduled: 70
---
tournamentCode	eventId	drawId	bracketId	roundId	winner	player1	partner1	player2	partner2	round	seed1	line1	seed2	line2	score
21-00238	2	1	1	3	1	sf9l1l		6mhibw		F		Mae Canete		Paula Cerda	63 62
21-00238	2	1	1	2	1	6mhibw		k7qfw5		SF		Paula Cerda		Destinee Martins	62 64
21-00238	2	1	1	2	1	sf9l1l		arir4l		SF		Mae Canete		Justine Lespes	64 61
21-00238	2	1	1	1	1	k7qfw5		3dj7zv		QF		Destinee Martins		Sara Gonzalez	62 60
21-00238	2	1	1	1	1	6mhibw		m2cs00		QF		Paula Cerda		Tanvikhaa Saravanan	75 46 [7]
21-00238	2	1	1	1	1	arir4l		yq5238		QF		Justine Lespes		Lena Milosevic	64 61
21-00238	2	1	1	1	1	sf9l1l		nl69gr		QF		Mae Canete		Steffi McDonald	64 62
21-00238	2	1	2	2	1	yq5238		3dj7zv		F		Lena Milosevic		Sara Gonzalez	63 36 [6]
21-00238	2	1	2	1	1	3dj7zv		m2cs00		SF		Sara Gonzalez		Tanvikhaa Saravanan	75 60
21-00238	2	1	2	1	1	yq5238		nl69gr		SF		Lena Milosevic		Steffi McDonald	60 61
21-00238	2	1	3	1	1	k7qfw5		arir4l		F		Destinee Martins		Justine Lespes	46 64 [4]
21-00238	2	1	4	1	1	m2cs00		nl69gr		F		Tanvikhaa Saravanan		Steffi McDonald	62 61
21-00238	2	2	1	3	1	amysqs		rfursx		F		Lauren Anzalotta		Anastassia Kouchnar…	62 62
21-00238	2	2	1	2	1	amysqs		o77pb1		SF		Lauren Anzalotta		Nyah Kauders	61 76(2)
21-00238	2	2	1	2	1	rfursx		m4h0be		SF		Anastassia Kouchnar…		Christine Canete	63 64
21-00238	2	2	1	1	1	amysqs		qr3xvx		QF		Lauren Anzalotta		Greta Wallin	61 63
21-00238	2	2	1	1	1	o77pb1		z0kys2		QF		Nyah Kauders		Brooklyn Ross	62 62
21-00238	2	2	1	1	1	rfursx		g44m8y		QF		Anastassia Kouchnar…		Skye Royall	64 61
21-00238	2	2	1	1	1	m4h0be		05hb9b		QF		Christine Canete		Carol Mora Camacho	62 26 [8]
21-00238	2	2	2	2	1	z0kys2		g44m8y		F		Brooklyn Ross		Skye Royall	63 61
21-00238	2	2	2	1	1	z0kys2		qr3xvx		SF		Brooklyn Ross		Greta Wallin	61 62
21-00238	2	2	2	1	1	g44m8y		05hb9b		SF		Skye Royall		Carol Mora Camacho	63 75
21-00238	2	2	3	1	1	o77pb1		m4h0be		F		Nyah Kauders		Christine Canete	Walkover
21-00238	2	2	4	1	1	05hb9b		qr3xvx		F		Carol Mora Camacho		Greta Wallin	61 60
21-00238	2	3	1	3	1	f93fvf		dk8eo2		F		Abigail Wild		Lucy Furness	63 62
21-00238	2	3	1	2	1	f93fvf		jqmci4		SF		Abigail Wild		Chiara Matteodo	76(3) 62
21-00238	2	3	1	2	1	dk8eo2		sfdhd1		SF		Lucy Furness		Mia Milojevic	26 76(4) [7]
21-00238	2	3	1	1	1	jqmci4		g69ujc		QF		Chiara Matteodo		Tizia Brocks	64 46 [5]
21-00238	2	3	1	1	1	f93fvf		sowyge		QF		Abigail Wild		Inna Serpukhova	62 75
21-00238	2	3	1	1	1	sfdhd1		xos24y		QF		Mia Milojevic		Leony Deutschmann	62 75
21-00238	2	3	1	1	1	dk8eo2		kofo1i		QF		Lucy Furness		Elizaveta Tregubova	64 63
21-00238	2	3	2	2	1	xos24y		g69ujc		F		Leony Deutschmann		Tizia Brocks	63 64
21-00238	2	3	2	1	1	g69ujc		sowyge		SF		Tizia Brocks		Inna Serpukhova	64 62
21-00238	2	3	2	1	1	xos24y		kofo1i		SF		Leony Deutschmann		Elizaveta Tregubova	46 75 [6]
21-00238	2	3	3	1	1	jqmci4		sfdhd1		F		Chiara Matteodo		Mia Milojevic	52 Ret.
21-00238	2	3	4	1	1	kofo1i		sowyge		F		Elizaveta Tregubova		Inna Serpukhova	61 60
21-00238	2	4	1	3	1	l9edsn		zulu7o		F		Kelly Arends		Grace Chadick	63 63
21-00238	2	4	1	2	1	zulu7o		kq3mx0		SF		Grace Chadick		Georgia Hosking	75 75
21-00238	2	4	1	2	1	l9edsn		h93fvf		SF		Kelly Arends		Zala Ule	60 60
21-00238	2	4	1	1	1	zulu7o		y7sv2d		QF		Grace Chadick		Sarah Roy	64 63
21-00238	2	4	1	1	1	kq3mx0		mll3pf		QF		Georgia Hosking		Chloe Chawner	62 60
21-00238	2	4	1	1	1	l9edsn		gcnsde		QF		Kelly Arends		Gaini Ibrasheva	61 61
21-00238	2	4	1	1	1	h93fvf		mttbxn		QF		Zala Ule		Lucia Popluharova	63 63
21-00238	2	4	2	2	1	gcnsde		y7sv2d		F		Gaini Ibrasheva		Sarah Roy	64 63
21-00238	2	4	2	1	1	y7sv2d		mll3pf		SF		Sarah Roy		Chloe Chawner	64 62
21-00238	2	4	2	1	1	gcnsde		mttbxn		SF		Gaini Ibrasheva		Lucia Popluharova	63 62
21-00238	2	4	3	1	1	h93fvf		kq3mx0		F		Zala Ule		Georgia Hosking	64 75
21-00238	2	4	4	1	1	mll3pf		mttbxn		F		Chloe Chawner		Lucia Popluharova	64 64
21-00238	2	5	1	3	1	wyo88o		0q5238		F		Elise Frigout		Dnyanada Patil	62 61
21-00238	2	5	1	2	1	wyo88o		6l4taj		SF		Elise Frigout		Vanessa Cozamanis	62 63
21-00238	2	5	1	2	1	0q5238		30emae		SF		Dnyanada Patil		Patricia Apisah	60 62
21-00238	2	5	1	1	1	6l4taj		1tpfl7		QF		Vanessa Cozamanis		Blythe Buntrock	63 75
21-00238	2	5	1	1	1	wyo88o		4g50n2		QF		Elise Frigout		Camille Belberka	62 63
21-00238	2	5	1	1	1	30emae		rur6pc		QF		Patricia Apisah		Honoka Yoshimura	62 61
21-00238	2	5	1	1	1	0q5238		dst0zq		QF		Dnyanada Patil		Nikki Boyar	67(5) 63 [4]
21-00238	2	5	2	1	1	1tpfl7		4g50n2		SF		Blythe Buntrock		Camille Belberka	63 63
21-00238	2	5	2	1	1	dst0zq		rur6pc		SF		Nikki Boyar		Honoka Yoshimura	61 60
21-00238	2	5	3	1	1	6l4taj		30emae		F		Vanessa Cozamanis		Patricia Apisah	60 63
21-00238	2	6	1	3	1	qm2o28		ymlenc		F		Yeva Kramarova		Lexi Penn	64 61
21-00238	2	6	1	2	1	ymlenc		ligkg4		SF		Lexi Penn		Andrea Farris	64 32 Ret.
21-00238	2	6	1	2	1	qm2o28		d0emae		SF		Yeva Kramarova		Rhythm Aswal	61 61
21-00238	2	6	1	1	1	ligkg4		yi36do		QF		Andrea Farris		Saskia Vogelzang	63 62
21-00238	2	6	1	1	1	d0emae		jm08w0		QF		Rhythm Aswal		Chloe Dix	16 64 [5]
21-00238	2	6	1	1	1	qm2o28		wxstm7		QF		Yeva Kramarova		Serena Gill	61 62
21-00238	2	6	2	2	1	wxstm7		yi36do		F		Serena Gill		Saskia Vogelzang	61 60
21-00238	2	6	2	1	1	wxstm7		jm08w0		SF		Serena Gill		Chloe Dix	64 61
21-00238	2	6	3	1	1	d0emae		ligkg4		F		Rhythm Aswal		Andrea Farris	Walkover
21-00238	2	7	1	3	1	o9zjjz		fd4dq7		R3		Haylie Hunger		Jimena Ramirez Llor…	Default
21-00238	2	7	1	3	1	m69ujc		mpsd2v		R3		Elena Bleicher		Hrudaya Shah	60 62
21-00238	2	7	1	2	1	bjef8t		o9zjjz		R2		Chantal Lozano		Haylie Hunger	63 61
21-00238	2	7	1	2	1	m69ujc		yulu7o		R2		Elena Bleicher		Taylor Conway	62 62
21-00238	2	7	1	1	1	bjef8t		fd4dq7		R1		Chantal Lozano		Jimena Ramirez Llor…	Default
