division	gender	code	abbreviation	name
d1  	men  	A-10      	A-10     	Atlantic 10 Conference
d1  	women	A-10      	A-10     	Atlantic 10 Conference
d1  	men  	ACC       	ACC      	Atlantic Coast Conference
d1  	women	ACC       	ACC      	Atlantic Coast Conference
d1  	men  	American  	AAC      	American Athletic Conference
d1  	women	American  	AAC      	American Athletic Conference
d1  	men  	ASUN      	ASUN     	Atlantic Sun Conference
d1  	women	ASUN      	ASUN     	Atlantic Sun Conference
d1  	men  	Big 12    	Big 12   	Big 12 Conference
d1  	women	Big 12    	Big 12   	Big 12 Conference
d1  	men  	Big East  	BIG EAST 	Big East Conference
d1  	women	Big East  	BIG EAST 	Big East Conference
d1  	men  	Big Sky   	BSC      	Big Sky Conference
d1  	women	Big Sky   	BSC      	Big Sky Conference
d1  	men  	Big South 	Big South	Big South Conference
d1  	women	Big South 	Big South	Big South Conference
d1  	men  	Big Ten   	B1G      	Big Ten Conference
d1  	women	Big Ten   	B1G      	Big Ten Conference
d1  	men  	Big West  	BWC      	Big West Conference
d1  	women	Big West  	BWC      	Big West Conference
d1  	men  	C-USA     	C-USA    	Conference USA
d1  	women	C-USA     	C-USA    	Conference USA
d1  	men  	CAA       	CAA      	Colonial Athletic Association
d1  	women	CAA       	CAA      	Colonial Athletic Association
d1  	men  	Horizon   	         	Horizon League Conference
d1  	women	Horizon   	         	Horizon League Conference
d1  	women	Ind.      	         	Independent
d1  	men  	Ivy       	IL       	Ivy League
d1  	women	Ivy       	IL       	Ivy League
d1  	men  	MAAC      	MAAC     	Metro Atlantic Athletic Conference
d1  	women	MAAC      	MAAC     	Metro Atlantic Athletic Conference
d1  	men  	MAC       	MAC      	Mid-American Conference
d1  	women	MAC       	MAC      	Mid-American Conference
d1  	men  	MEAC      	MEAC     	Mid-Eastern Athletic Conference
d1  	women	MEAC      	MEAC     	Mid-Eastern Athletic Conference
d1  	women	MVC       	MVC      	Missouri Valley Conference
d1  	men  	MW        	MWC      	Mountain West Conference
d1  	women	MW        	MWC      	Mountain West Conference
d1  	men  	NEC       	NEC      	Northeast Conference
d1  	women	NEC       	NEC      	Northeast Conference
d1  	men  	OVC       	OVC      	Ohio Valley Conference
